name,freelance,createdAt,profileName,totalNumberOfFollowing,totalNumberOfFollowers,vizCount,visibleWorkbookCount,lastPublishDate,organization,title,bio,featuredVizRepoUrl,profileUrl,country,state,city
Let's Get Healthy California,False,2015-09-01,gregg.hill,0,0,4,3,2015-09-16,,,,,https://public.tableau.com/app/profile/gregg.hill,,,
"California Business, Consumer Services, and Housing Agency",False,2021-01-01,california.business.consumer.services.and.housing.agency,0,0,38,0,2021-10-22,,,,,https://public.tableau.com/app/profile/california.business.consumer.services.and.housing.agency,,,
California Community Colleges Chancellor's Office,False,2021-01-01,california.community.colleges.chancellor.s.office,0,0,18,0,2021-08-02,,,,,https://public.tableau.com/app/profile/california.community.colleges.chancellor.s.office,United States,California,
Washington & California Real Estate visual analysis ,False,2020-03-01,washington.california.real.estate.visual.analysis,0,0,11,1,2020-03-14,,,,WashingtonandCalifoniaRealEstateVisualization_Final,https://public.tableau.com/app/profile/washington.california.real.estate.visual.analysis,United States,Washington,
California Health & Human Services Agency (CHHS),False,2020-01-01,chhs,0,0,18,0,2021-07-13,State of California,,,,https://public.tableau.com/app/profile/chhs,United States,California,
Californians for Parental Rights,False,2015-12-01,californians.for.parental.rights,0,0,6,1,2015-12-04,,,,,https://public.tableau.com/app/profile/californians.for.parental.rights,,,
Calidonia Hibernia,False,,calidonia.hibernia,0,0,2,1,2011-12-08,,,,,https://public.tableau.com/app/profile/calidonia.hibernia,,,
Chris DeMartini,False,,vizde7382,15,1026,371,62,2021-10-08,,,,DailySocialDistancingHoodies,https://public.tableau.com/app/profile/vizde7382,United States,California,
Lisa Trescott,False,2018-05-01,lisa.trescott,179,361,26,9,2021-11-11,,,,BreakthroughArtistsIronViz2021IVLisa,https://public.tableau.com/app/profile/lisa.trescott,United States,California,
Hospital Quality Institute,False,2015-04-01,mallory.johnson,0,2,25,6,2018-04-25,California Hospital Association,,"About HQI
The Hospital Quality Institute (HQI) was established in April 2013 to realize statewide impact of improving patient safety and quality care for all Californians, to accelerate the rate of improvement, and to advance California as a national leader in quality performance.",StateLevel,https://public.tableau.com/app/profile/mallory.johnson,United States,California,Sacramento
Sanaz Jamloo,False,2018-07-01,sanazjamloo,14,295,129,37,2021-10-18,Tableau Developer,,"I love telling stories with data. 
University of California, Santa Cruz ",MillennialsvsGen-Z,https://public.tableau.com/app/profile/sanazjamloo,United States,California,San Francisco
UCOP_IRAP,False,,ucop.irap,0,8,51,1,2015-07-08,"University of California, Office of the President",,,admissonsv2,https://public.tableau.com/app/profile/ucop.irap,,,
Parin Shah,False,2019-12-01,parin.shah4447,86,29,119,16,2020-09-05,University of Southern California,Student,,FormulaOneConstructors,https://public.tableau.com/app/profile/parin.shah4447,United States,California,Los Angeles
Katharine Rosacker,False,2019-03-01,kathie.rosacker,118,152,208,97,2021-10-29,,,Tableau Desktop Certified Associate in Southern California | Data Enthusiast Working in Higher Ed,MM2020Week34_15985023454840,https://public.tableau.com/app/profile/kathie.rosacker,United States,California,
Chi-Chun Chou,False,2020-10-01,chi.chun.chou,0,21,51,15,2021-06-10,"California State University, Monterey Bay",,,,https://public.tableau.com/app/profile/chi.chun.chou,United States,California,
Salesforce Industry Insights,False,2019-10-01,salesforcecommercecloud,4,101,307,28,2021-11-12,,,,Homepage-Wave2-ConsumerSentimentSurvey,https://public.tableau.com/app/profile/salesforcecommercecloud,United States,California,
Harpreet Ghuman,False,2016-05-01,harpreetghuman,27,925,417,31,2020-08-28,Ernst & Young,,,HowsAfricaDoing,https://public.tableau.com/app/profile/harpreetghuman,United States,California,Fresno
Alexandre Martinez,False,2017-09-01,alexandre.martinez,1,7,90,8,2021-07-12,University of California at Irvine,,Ph.D. candidate at the University of California at Irvine.,,https://public.tableau.com/app/profile/alexandre.martinez,United States,California,Irvine
Data Embassy,False,2018-11-01,data.embassy,0,112,108,48,2021-08-08,,,,,https://public.tableau.com/app/profile/data.embassy,United States,California,
Bhagyashri Patil,False,2017-08-01,bhagyashri.patil,650,109,40,19,2021-09-23,,,,HR-AttritionAnalytics,https://public.tableau.com/app/profile/bhagyashri.patil,United States,California,
Jo,False,2018-03-01,jyotikeswani,99,10,18,3,2018-09-11,"University of California, Sacramento",,,BusinessDashboard_23,https://public.tableau.com/app/profile/jyotikeswani,United States,California,San Jose
Budget & Institutional Analysis,False,2015-06-01,ucdavis.bia,1,9,68,29,2021-11-08,"University of California, Davis",,,UCDavisCOVID-19Dashboard,https://public.tableau.com/app/profile/ucdavis.bia,United States,California,Davis
Alexander Mou,False,,a.m.5517,5,427,2665,710,2021-11-04,,,,TableauShortcutsforKeyboardandMouse,https://public.tableau.com/app/profile/a.m.5517,United States,California,San Francisco
Ashlie Zhang,False,2018-11-01,ashlie.zhang5040,138,77,246,136,2021-05-17,,,,,https://public.tableau.com/app/profile/ashlie.zhang5040,United States,California,
Jingya,False,2018-06-01,carrie7644,92,42,12,6,2018-09-13,,,,MakeoverMondayAug20ACLED,https://public.tableau.com/app/profile/carrie7644,United States,California,
